KOR_NUM,year,month,KOR_NM,temperature,temp_max,temp_min
4,2022,10,고흥,15.8889419,27.37174053,3.054147982
5,2022,10,광주,16.20855102,27.99971575,4.821176915
6,2022,10,구미,14.1863282,26.8357822,1.333178557
7,2022,10,군산,15.48279197,26.17926548,4.348920428
8,2022,10,금산,12.88734651,26.74735594,-0.761803844
9,2022,10,남원,13.8247263,27.66240977,-0.066978695
10,2022,10,남해,16.75863601,27.21876287,6.092932928
11,2022,10,대구,16.24634539,27.74622564,4.487831584
12,2022,10,대전,14.74737118,26.56123675,2.03486527
13,2022,10,동두천,13.30994297,26.875661,-0.310118936
14,2022,10,동해,15.20397172,25.49950046,4.729043809
15,2022,10,목포,16.83406294,27.2012049,6.873249378
16,2022,10,문경,13.14218361,25.87589583,0.023451572
17,2022,10,밀양,15.30643598,28.18332624,1.738431188
18,2022,10,보령,15.17478324,26.37674858,3.236370172
19,2022,10,보은,12.28384229,25.91694385,-1.604707648
20,2022,10,봉화,11.13799051,25.34654894,-3.227477964
21,2022,10,부산,18.03506372,27.2716055,8.252694653
22,2022,10,부안,15.02499826,27.14821575,2.550034655
23,2022,10,부여,13.87624671,27.16568491,0.294310194
24,2022,10,산청,14.22144929,27.39531495,1.411228111
25,2022,10,상주,13.91814165,26.48912798,1.337818619
26,2022,10,서귀포,19.76208798,27.82969814,11.22607717
27,2022,10,서산,14.25550564,26.27205349,1.621586267
28,2022,10,서울,15.1979716,26.34553409,3.257943546
29,2022,10,속초,15.23399576,25.70999428,4.539778776
30,2022,10,수원,14.62776957,26.44914874,1.723577293
31,2022,10,안동,13.60248254,26.23686651,0.167957359
32,2022,10,양평,13.03926754,26.1931973,-0.280372457
33,2022,10,여수,17.70939341,26.1352899,8.582110421
34,2022,10,영덕,15.1664386,26.68034172,3.848908351
35,2022,10,영월,12.72804992,26.29386647,-0.621079375
36,2022,10,영주,12.88835352,25.95448265,-0.718449887
37,2022,10,영천,14.19050832,27.33409221,0.238100425
38,2022,10,완도,17.15589005,26.73360321,7.448154038
39,2022,10,울릉도,15.61056314,24.13766593,7.035289452
40,2022,10,울산,16.63699588,27.55319161,5.6872792
41,2022,10,울진,15.17048275,25.93355162,4.110349343
42,2022,10,원주,13.32336488,25.8876934,0.052681303
43,2022,10,의성,12.75617492,27.02655175,-1.97161781
44,2022,10,이천,13.11660008,26.28382737,-0.86862579
45,2022,10,인제,11.83591681,25.42170497,-1.304959708
46,2022,10,인천,15.4440834,25.66337235,4.209159717
47,2022,10,임실,12.65164464,26.71557458,-1.144842234
48,2022,10,장수,11.63118977,25.6912789,-1.830994223
49,2022,10,장흥,15.1085429,27.58295416,2.028934665
50,2022,10,전주,15.48901558,27.74784335,3.11275693
51,2022,10,정읍,15.20232097,27.62809159,3.026204424
52,2022,10,제주,18.71544686,27.00768096,10.59745664
53,2022,10,제천,11.49141139,25.72052935,-2.401640747
54,2022,10,진도,14.66684929,25.54541948,5.734042892
55,2022,10,진주,14.99061453,27.63098659,1.645396013
56,2022,10,창원,17.51106195,27.66219516,7.259181288
57,2022,10,천안,13.51445326,26.29313696,-0.11560759
58,2022,10,철원,11.86719843,25.52972873,-2.555913459
59,2022,10,청주,14.70725994,26.70975646,1.893939751
60,2022,10,춘천,12.8492197,25.59802764,-0.577283118
61,2022,10,태백,10.49751054,23.57808435,-2.032600776
62,2022,10,통영,17.61634358,27.09130739,7.435688962
63,2022,10,포항,17.07362061,27.46785867,6.760510147
64,2022,10,합천,14.57401408,28.00754527,1.51450235
65,2022,10,해남,15.47427369,27.35311692,2.072605354
66,2022,10,홍천,12.05345484,25.96964292,-1.455298417
0,2022,11,강화,6.347445654,18.94972242,-6.471075275
1,2022,11,거제,10.67033679,21.74677339,-0.223421177
2,2022,11,거창,6.483848895,21.47425414,-6.546448878
3,2022,11,고창,8.125450322,20.42583847,-0.958899142
4,2022,11,고흥,9.415379569,22.06725699,-3.188219337
5,2022,11,광주,9.53080891,21.98033151,-1.285847676
6,2022,11,구미,7.285835417,21.00090981,-4.431527091
7,2022,11,군산,8.656234211,20.49893665,-1.795768764
8,2022,11,금산,6.101443033,21.41859643,-6.8124751
9,2022,11,남원,6.810626306,21.66701141,-5.605385927
10,2022,11,남해,10.41068085,21.6620014,-0.56911614
11,2022,11,대구,9.38173072,21.99728561,-2.014514427
12,2022,11,대전,7.753232172,20.83271712,-4.296743826
13,2022,11,동두천,5.836707116,20.54514089,-6.949743519
14,2022,11,동해,9.397942262,20.92111454,-1.677313859
15,2022,11,목포,10.42643255,21.46252169,0.282591069
16,2022,11,문경,6.520832914,19.80314206,-5.66001203
17,2022,11,밀양,8.39784772,22.31240399,-4.54036192
18,2022,11,보령,8.640790314,20.54897604,-2.362197113
19,2022,11,보은,5.60661053,20.40507856,-7.488913447
20,2022,11,봉화,4.268487926,19.37400272,-9.251292027
21,2022,11,부산,12.00440067,22.75741106,0.989133863
22,2022,11,부안,8.554541122,21.63603964,-2.976416641
23,2022,11,부여,6.850645191,20.93043965,-4.962433968
24,2022,11,산청,7.94740709,21.82780231,-4.331633312
25,2022,11,상주,7.162691572,20.52924191,-4.310331883
26,2022,11,서귀포,14.56393362,23.66659645,5.080901036
27,2022,11,서산,7.375950776,20.21845911,-4.046210886
28,2022,11,서울,7.540440697,19.62074818,-4.592565163
29,2022,11,속초,8.935158822,20.64437636,-2.742905886
30,2022,11,수원,7.191291616,19.99191204,-4.988776099
31,2022,11,안동,6.492046313,20.28962786,-6.42196388
32,2022,11,양평,5.704358417,19.874111,-7.267041894
33,2022,11,여수,11.38081783,20.96239713,1.313665429
34,2022,11,영덕,9.250096779,21.88539593,-2.21177552
35,2022,11,영월,5.311666332,19.8341213,-7.621382281
36,2022,11,영주,6.032483276,19.53836353,-6.764842287
37,2022,11,영천,7.38919693,21.62688694,-5.857290884
38,2022,11,완도,10.8365457,21.18360858,0.904574999
39,2022,11,울릉도,9.969808715,20.04783764,0.698289972
40,2022,11,울산,10.41173095,22.41748538,-0.805811987
41,2022,11,울진,9.411095975,21.45057612,-2.142220038
42,2022,11,원주,5.975521291,19.57016265,-6.717459603
43,2022,11,의성,5.525255555,21.23861358,-8.547172094
44,2022,11,이천,5.781336505,19.7630472,-7.114912311
45,2022,11,인제,4.7177005,18.87788024,-8.046681957
46,2022,11,인천,7.974873032,19.115214,-3.624439291
47,2022,11,임실,5.954280388,21.05149978,-6.825885936
48,2022,11,장수,5.175280551,20.23626721,-7.141639258
49,2022,11,장흥,8.680738304,22.05987148,-3.703073469
50,2022,11,전주,8.762587718,21.93028471,-2.842093676
51,2022,11,정읍,8.595202748,21.89587921,-3.020482507
52,2022,11,제주,13.38864573,22.85917712,5.095275392
53,2022,11,제천,4.415385838,19.15024409,-9.375534295
54,2022,11,진도,8.371481941,20.5956577,-1.11671444
55,2022,11,진주,7.968361256,21.973874,-4.602765746
56,2022,11,창원,10.93941327,21.721044,0.238926299
57,2022,11,천안,6.337031647,20.4266845,-6.087643188
58,2022,11,철원,4.320490276,18.68627447,-9.369124149
59,2022,11,청주,7.451946991,20.39296426,-4.552014443
60,2022,11,춘천,5.266012306,18.95110332,-7.443952144
61,2022,11,태백,4.166942251,17.82305386,-8.448952264
62,2022,11,통영,11.4285759,21.74346841,0.668238807
63,2022,11,포항,10.70577054,22.18012647,-0.283208254
64,2022,11,합천,7.700811014,22.22596544,-4.755031494
65,2022,11,해남,9.220000916,22.14828591,-3.341592172
66,2022,11,홍천,4.468898738,19.56629821,-8.73582219
0,2022,12,강화,-0.842864723,11.865067,-13.00564814
1,2022,12,거제,4.66774065,16.2093208,-4.938397772
2,2022,12,거창,0.465038467,15.07014424,-11.72382327
3,2022,12,고창,2.224671806,15.13196016,-8.694114599
4,2022,12,고흥,3.578869158,16.43769278,-7.500385402
5,2022,12,광주,3.283866829,15.84328091,-6.711848691
6,2022,12,구미,1.027016614,13.97878994,-9.811188865
7,2022,12,군산,2.211556831,14.12579111,-7.927961798
8,2022,12,금산,-0.327521034,14.40006128,-13.08365181
9,2022,12,남원,0.354350366,15.83901094,-12.71276917
10,2022,12,남해,4.381929112,15.90115723,-5.91969175
11,2022,12,대구,2.927106736,15.29525269,-7.572604995
12,2022,12,대전,1.120253454,14.25819296,-10.63491995
13,2022,12,동두천,-1.888342238,12.0711261,-14.7225413
14,2022,12,동해,3.468132816,14.36256554,-7.547028455
15,2022,12,목포,4.311494452,15.94213421,-4.952091299
16,2022,12,문경,0.177534072,12.77766541,-11.4885764
17,2022,12,밀양,2.172459254,16.31322406,-9.301042809
18,2022,12,보령,2.193703294,14.570144,-8.647046632
19,2022,12,보은,-0.99483538,13.34986008,-14.10297153
20,2022,12,봉화,-2.035528911,12.63709511,-16.30511037
21,2022,12,부산,5.861731875,17.48515438,-5.383517334
22,2022,12,부안,2.172242878,15.28180485,-9.432889631
23,2022,12,부여,0.524013793,14.37768127,-11.35326032
24,2022,12,산청,2.155173704,15.5614728,-9.188643992
25,2022,12,상주,0.474595114,12.72427135,-10.38505146
26,2022,12,서귀포,9.439986742,19.34624861,0.574454721
27,2022,12,서산,0.677393211,13.68096904,-10.15357885
28,2022,12,서울,0.253066506,12.20615158,-11.3958106
29,2022,12,속초,2.586203847,13.73104396,-9.282802533
30,2022,12,수원,0.176752339,13.10675853,-11.41777619
31,2022,12,안동,-0.014341573,13.26000704,-12.83084846
32,2022,12,양평,-1.391409929,11.97431477,-14.13754724
33,2022,12,여수,5.210732979,15.49501508,-4.710312922
34,2022,12,영덕,2.997704334,15.75562872,-8.228775382
35,2022,12,영월,-1.694438583,11.8676163,-15.09863391
36,2022,12,영주,-0.537757078,12.4688743,-13.21614098
37,2022,12,영천,1.157438546,15.07722041,-10.99216384
38,2022,12,완도,5.095561577,15.8990437,-3.816446166
39,2022,12,울릉도,4.369777135,14.4068666,-4.719841556
40,2022,12,울산,4.396874337,17.05879459,-6.495721256
41,2022,12,울진,3.666107965,16.18733449,-7.78415608
42,2022,12,원주,-1.087562789,12.38029115,-13.64473122
43,2022,12,의성,-1.093409113,14.34032748,-14.83411886
44,2022,12,이천,-1.27274771,12.11617717,-14.12383595
45,2022,12,인제,-2.0809201,11.1258415,-15.67086413
46,2022,12,인천,0.815340027,12.46349872,-10.35877455
47,2022,12,임실,-0.432193132,14.45750246,-13.29786701
48,2022,12,장수,-0.879770087,13.68641715,-14.32868976
49,2022,12,장흥,2.935261119,16.46272654,-8.056984664
50,2022,12,전주,2.313315314,15.52198328,-8.947872056
51,2022,12,정읍,2.159608649,15.54851782,-8.790571138
52,2022,12,제주,8.390487771,18.31548358,0.904471395
53,2022,12,제천,-2.585864774,11.70306985,-16.55816977
54,2022,12,진도,1.86405087,14.53836086,-7.041796318
55,2022,12,진주,2.085057114,16.3252836,-9.704874581
56,2022,12,창원,4.677958217,16.29141092,-5.863412418
57,2022,12,천안,-0.148652598,13.83870806,-12.89006275
58,2022,12,철원,-3.230284212,10.5467527,-17.54477421
59,2022,12,청주,0.577232462,13.69025051,-11.09046063
60,2022,12,춘천,-1.948360031,10.69764347,-15.21566535
61,2022,12,태백,-2.278250222,11.03299725,-15.10224825
62,2022,12,통영,5.460657419,16.63202631,-4.762961663
63,2022,12,포항,4.406374035,16.26397354,-6.76975313
64,2022,12,합천,1.387569643,16.18864286,-12.89248117
65,2022,12,해남,3.293756603,16.49056501,-8.003036429
66,2022,12,홍천,-2.588138617,11.32187414,-16.57382734
0,2023,1,강화,-3.20703069,8.766956437,-15.22150282
1,2023,1,거제,2.701464142,13.57066189,-6.968806359
2,2023,1,거창,-1.300862112,12.18146983,-13.97558698
3,2023,1,고창,-0.177013564,11.91896925,-10.44133124
4,2023,1,고흥,1.649669742,13.66431506,-9.418761686
5,2023,1,광주,1.09965287,13.02231968,-8.988626812
6,2023,1,구미,-0.596097612,11.4704991,-11.72281544
7,2023,1,군산,-0.061444584,11.13960311,-10.40779484
8,2023,1,금산,-2.320870498,11.63868891,-15.77365079
9,2023,1,남원,-1.41166707,12.47153472,-14.52820222
10,2023,1,남해,2.248837221,13.17649847,-8.029315149
11,2023,1,대구,1.027564144,12.53668275,-9.412262986
12,2023,1,대전,-0.993037873,11.43377281,-12.92873553
13,2023,1,동두천,-3.772090133,9.894026955,-16.78364224
14,2023,1,동해,1.168107458,12.22328767,-9.56299707
15,2023,1,목포,1.883347538,12.53214516,-7.119090238
16,2023,1,문경,-1.639952133,10.10947718,-13.44743676
